SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+17.952,-0.049,+16.754,+15.767,6.240079e+01,9.888596e-01,4.735793e+01,3.773247e+01
-10,+12.995,-0.261,+11.722,+9.946,1.992935e+01,9.416178e-01,1.486489e+01,9.875551e+00
-5,+8.062,-1.017,+6.663,+3.589,6.400470e+00,7.911840e-01,4.637904e+00,2.285325e+00
0,+3.038,-2.678,+1.491,-3.494,2.012725e+00,5.397129e-01,1.409485e+00,4.473043e-01
5,-2.009,-5.169,-3.598,-11.194,6.296803e-01,3.041897e-01,4.366747e-01,7.596318e-02
10,-6.960,-8.401,-8.229,-15.692,2.013831e-01,1.445147e-01,1.503600e-01,2.696513e-02
15,-11.981,-12.524,-12.117,-19.621,6.337024e-02,5.592751e-02,6.141318e-02,1.091182e-02
20,-16.942,-17.125,-14.645,-21.659,2.022198e-02,1.938581e-02,3.431320e-02,6.825290e-03
