SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+3.871,-1.374,+2.685,+0.560,2.438197e+00,7.287723e-01,1.855535e+00,1.137677e+00
-10,-1.129,-3.714,-2.362,-5.396,7.710752e-01,4.251672e-01,5.805397e-01,2.886681e-01
-5,-6.126,-8.295,-7.404,-12.193,2.439924e-01,1.480879e-01,1.818180e-01,6.035942e-02
0,-11.128,-14.242,-12.470,-19.763,7.712054e-02,3.765711e-02,5.662711e-02,1.056066e-02
5,-16.126,-19.067,-17.434,-27.097,2.439782e-02,1.239518e-02,1.805696e-02,1.951260e-03
10,-21.130,-22.750,-21.937,-28.468,7.708781e-03,5.309333e-03,6.401211e-03,1.423049e-03
15,-26.129,-26.773,-25.244,-29.634,2.438539e-03,2.102152e-03,2.989567e-03,1.087820e-03
20,-31.129,-31.350,-26.954,-29.708,7.710629e-04,7.327809e-04,2.016547e-03,1.069632e-03
