SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+4.439,-1.365,+3.259,+1.112,2.778909e+00,7.302587e-01,2.117806e+00,1.291920e+00
-10,-0.560,-3.686,-1.794,-4.829,8.789933e-01,4.279135e-01,6.615697e-01,3.289185e-01
-5,-5.562,-8.193,-6.839,-11.608,2.778748e-01,1.516041e-01,2.070617e-01,6.906277e-02
0,-10.560,-13.928,-11.889,-18.967,8.790541e-02,4.047464e-02,6.472198e-02,1.268435e-02
5,-15.562,-18.529,-16.809,-24.640,2.778595e-02,1.403193e-02,2.084853e-02,3.435255e-03
10,-20.562,-22.153,-21.216,-25.267,8.786359e-03,6.091640e-03,7.558316e-03,2.973378e-03
15,-25.561,-26.193,-24.567,-25.956,2.778885e-03,2.402976e-03,3.493896e-03,2.537460e-03
20,-30.562,-30.778,-26.534,-26.085,8.786586e-04,8.359147e-04,2.221170e-03,2.463313e-03
