SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+4.176,-1.369,+2.995,+0.853,2.616029e+00,7.295944e-01,1.993075e+00,1.216991e+00
-10,-0.823,-3.700,-2.053,-5.079,8.273842e-01,4.266125e-01,6.232616e-01,3.104974e-01
-5,-5.823,-8.243,-7.075,-11.883,2.616078e-01,1.498763e-01,1.961235e-01,6.481532e-02
0,-10.824,-14.079,-12.036,-19.479,8.272023e-02,3.909365e-02,6.256792e-02,1.127442e-02
5,-15.823,-18.780,-16.739,-26.847,2.616185e-02,1.324455e-02,2.118963e-02,2.066650e-03
10,-20.826,-22.432,-20.963,-27.535,8.268425e-03,5.711936e-03,8.011688e-03,1.763813e-03
15,-25.826,-26.463,-24.287,-27.267,2.614604e-03,2.258011e-03,3.726589e-03,1.876363e-03
20,-30.821,-31.040,-26.275,-27.093,8.276655e-04,7.870075e-04,2.357996e-03,1.953184e-03
