SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+4.176,-1.368,+2.994,+0.856,2.615687e+00,7.297405e-01,1.992292e+00,1.217764e+00
-10,-0.825,-3.702,-2.059,-5.094,8.269269e-01,4.264275e-01,6.223758e-01,3.094619e-01
-5,-5.826,-8.240,-7.103,-11.884,2.614831e-01,1.499631e-01,1.948682e-01,6.480762e-02
0,-10.823,-14.071,-12.154,-19.354,8.273617e-02,3.916891e-02,6.089187e-02,1.160448e-02
5,-15.825,-18.777,-17.081,-25.778,2.615255e-02,1.325280e-02,1.958363e-02,2.643705e-03
10,-20.822,-22.431,-21.498,-26.957,8.274775e-03,5.712846e-03,7.082982e-03,2.015120e-03
15,-25.824,-26.461,-24.785,-27.486,2.615936e-03,2.258786e-03,3.322966e-03,1.784085e-03
20,-30.824,-31.043,-26.664,-27.686,8.271487e-04,7.864711e-04,2.155868e-03,1.703785e-03
