SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+18.021,-0.038,+16.823,+15.836,6.339751e+01,9.913598e-01,4.811377e+01,3.833168e+01
-10,+12.997,-0.258,+11.723,+9.947,1.993740e+01,9.423577e-01,1.487106e+01,9.878145e+00
-5,+8.011,-1.045,+6.613,+3.539,6.326109e+00,7.861381e-01,4.584875e+00,2.258860e+00
0,+2.990,-2.709,+1.446,-3.540,1.990735e+00,5.358734e-01,1.395070e+00,4.426177e-01
5,-1.996,-5.158,-3.581,-11.178,6.314868e-01,3.049609e-01,4.383863e-01,7.624262e-02
10,-6.953,-8.395,-8.211,-15.675,2.017143e-01,1.446950e-01,1.509758e-01,2.707281e-02
15,-12.000,-12.541,-12.120,-19.593,6.310205e-02,5.570973e-02,6.137644e-02,1.098251e-02
20,-17.012,-17.194,-14.694,-21.635,1.989926e-02,1.907994e-02,3.393484e-02,6.863501e-03
