SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+6.817,-1.314,+5.626,+4.088,4.804540e+00,7.389575e-01,3.652454e+00,2.563457e+00
-10,+1.994,-3.496,+0.741,-1.606,1.582794e+00,4.471221e-01,1.186042e+00,6.908648e-01
-5,-2.967,-7.560,-4.303,-8.140,5.049564e-01,1.753798e-01,3.713074e-01,1.534703e-01
0,-7.835,-12.204,-9.263,-15.220,1.646354e-01,6.020204e-02,1.185009e-01,3.005991e-02
5,-13.231,-16.278,-14.590,-23.058,4.752094e-02,2.355872e-02,3.475455e-02,4.945288e-03
10,-17.938,-19.467,-18.807,-25.561,1.607505e-02,1.130552e-02,1.316029e-02,2.779020e-03
15,-23.226,-23.818,-22.584,-27.132,4.757426e-03,4.151827e-03,5.515661e-03,1.935739e-03
20,-28.006,-28.208,-24.578,-27.805,1.582606e-03,1.510948e-03,3.484945e-03,1.657841e-03
