SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+17.985,-0.045,+16.787,+15.800,6.288144e+01,9.896899e-01,4.772311e+01,3.801777e+01
-10,+13.074,-0.232,+11.800,+10.025,2.029372e+01,9.479671e-01,1.513623e+01,1.005778e+01
-5,+8.020,-1.038,+6.622,+3.546,6.338786e+00,7.874183e-01,4.593639e+00,2.262449e+00
0,+3.000,-2.701,+1.453,-3.531,1.995069e+00,5.368705e-01,1.397392e+00,4.435235e-01
5,-1.959,-5.129,-3.554,-11.143,6.368915e-01,3.069418e-01,4.412120e-01,7.686477e-02
10,-6.940,-8.384,-8.210,-15.659,2.022901e-01,1.450913e-01,1.509992e-01,2.717097e-02
15,-11.983,-12.526,-12.117,-19.586,6.333597e-02,5.590134e-02,6.142562e-02,1.099894e-02
20,-17.071,-17.253,-14.754,-21.653,1.962939e-02,1.882331e-02,3.346600e-02,6.833905e-03
