SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+18.045,-0.036,+16.847,+15.859,6.374872e+01,9.918476e-01,4.838091e+01,3.854229e+01
-10,+12.950,-0.276,+11.677,+9.900,1.972622e+01,9.384925e-01,1.471295e+01,9.772480e+00
-5,+8.008,-1.043,+6.609,+3.534,6.320699e+00,7.865835e-01,4.580692e+00,2.256422e+00
0,+3.037,-2.679,+1.491,-3.495,2.012187e+00,5.396521e-01,1.409618e+00,4.472367e-01
5,-1.961,-5.131,-3.548,-11.157,6.366468e-01,3.068605e-01,4.417752e-01,7.661067e-02
10,-6.925,-8.370,-8.188,-15.674,2.029958e-01,1.455529e-01,1.517665e-01,2.707628e-02
15,-11.976,-12.518,-12.098,-19.644,6.343987e-02,5.599622e-02,6.168324e-02,1.085401e-02
20,-16.994,-17.178,-14.679,-21.709,1.997841e-02,1.915189e-02,3.404525e-02,6.747410e-03
