SNR (dB),LS NMSE (dB),MMSE NMSE (dB),Sa-DLCS NMSE (dB),NCRN NMSE (dB),LS NMSE (lin),MMSE NMSE (lin),Sa-DLCS NMSE (lin),NCRN NMSE (lin)
-15,+17.985,-0.044,+16.787,+15.798,6.287310e+01,9.900336e-01,4.771653e+01,3.800516e+01
-10,+13.100,-0.228,+11.827,+10.051,2.041852e+01,9.488873e-01,1.522872e+01,1.011920e+01
-5,+7.970,-1.065,+6.572,+3.498,6.266639e+00,7.826031e-01,4.541978e+00,2.237754e+00
0,+2.990,-2.706,+1.446,-3.533,1.990657e+00,5.363308e-01,1.395159e+00,4.433466e-01
5,-1.962,-5.130,-3.545,-11.073,6.365472e-01,3.068775e-01,4.420518e-01,7.810011e-02
10,-6.977,-8.417,-8.229,-15.466,2.005884e-01,1.439706e-01,1.503573e-01,2.840627e-02
15,-11.971,-12.514,-12.087,-19.041,6.351522e-02,5.605436e-02,6.184094e-02,1.247085e-02
20,-16.967,-17.151,-14.648,-20.867,2.010260e-02,1.927266e-02,3.429579e-02,8.191048e-03
